customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,charge_ratio,tenure_group,total_services,charges_difference
1680-VDCWW,1,0,1,0,12.0,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,1.1747836835599506,0-1yr,0,-35.35000000000002
1066-JKSGK,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,1.0,0-1yr,0,0.0
3638-WEABW,1,0,0,0,29.0,1,2,1,0,2,0,2,0,0,2,1,1,70.55,3505.1,0,0.5837065989558072,2-4yr,2,1459.15
6322-HRPFA,1,0,1,1,49.0,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,0.9832003501329831,4-6yr,3,49.90000000000009
6865-JZNKO,0,0,0,0,30.0,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,1.083888671109369,2-4yr,2,-128.4000000000001
6467-CHFZW,1,0,1,1,29.0,1,2,1,0,2,0,0,0,2,0,1,2,70.55,4749.15,1,0.4308034069254499,2-4yr,2,2703.2
8665-UTDHZ,1,0,1,1,1.0,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,1.0,0-1yr,1,0.0
5248-YGIJN,1,0,1,0,72.0,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,1.0201822763346913,4-6yr,6,-128.55000000000018
8773-HHUOZ,0,0,0,1,29.0,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1.7164943737992868,2-4yr,2,-783.2000000000003
3841-NFECX,0,1,1,0,29.0,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,0.41291128203991456,2-4yr,4,3972.8
4929-XIHVW,1,1,0,0,29.0,1,0,1,0,0,2,0,0,2,0,1,1,70.55,181.65,0,11.263143407652077,2-4yr,2,-1864.2999999999997
6827-IEAUQ,0,0,1,1,27.0,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,0.9528394995865456,2-4yr,4,88.39999999999986
7310-EGVHZ,1,0,0,0,29.0,1,0,2,1,1,1,1,0,1,0,0,0,70.55,20.2,0,101.28465346534654,2-4yr,0,-2025.7499999999998
3413-BMNZE,1,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,1.0,0-1yr,0,0.0
6234-RAAPL,0,0,1,1,72.0,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,0.9918777665926611,4-6yr,4,58.899999999999636
6047-YHPVI,1,0,0,0,5.0,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,1.0997159987377723,0-1yr,0,-31.600000000000023
6572-ADKRS,1,0,0,0,29.0,1,0,1,0,0,2,0,0,0,0,1,1,70.55,3548.3,0,0.5766000620015218,2-4yr,1,1502.3500000000004
5380-WJKOV,1,0,0,0,34.0,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,1.0187786152003944,2-4yr,4,-66.64999999999964
8168-UQWWF,0,0,0,0,11.0,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,0.9737199203908086,0-1yr,3,29.050000000000182
8865-TNMNX,1,0,1,1,10.0,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0,1.0416228715577043,0-1yr,1,-19.80000000000001
9489-DEDVP,0,0,0,1,29.0,1,2,1,2,2,0,0,0,0,2,1,1,70.55,4872.35,0,0.4199103102199144,2-4yr,2,2826.4000000000005
9867-JCZSP,0,0,1,1,17.0,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0,0.8433950986252242,1-2yr,0,65.5
4671-VJLCL,0,0,0,0,29.0,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,0.47632907877279407,2-4yr,5,2545.8
4080-IIARD,0,0,1,0,29.0,1,2,0,2,2,0,2,0,0,0,1,2,70.55,981.45,0,2.0846196953487186,2-4yr,3,-1064.4999999999998
3714-NTNFO,0,0,0,0,29.0,1,2,1,0,0,0,0,0,2,0,1,2,70.55,3906.7,0,0.5237028694294418,2-4yr,1,1860.75
5948-UJZLF,1,0,0,0,2.0,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0,1.0154639175257731,0-1yr,1,-1.5
7760-OYPDY,0,0,0,0,29.0,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,16.225112729795352,2-4yr,1,-2194.7000000000003
7639-LIAYI,1,0,0,0,52.0,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0,0.9832139978187682,4-6yr,4,70.80000000000018
2954-PIBKO,0,0,1,1,69.0,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0,1.0404903504854142,4-6yr,3,-172.25
8012-SOUDQ,1,1,0,0,29.0,1,2,1,0,2,0,0,0,0,0,1,2,70.55,3838.75,0,0.532972972972973,2-4yr,1,1792.8000000000002
9420-LOJKX,0,0,0,0,29.0,1,0,1,2,2,0,0,0,2,0,1,1,70.55,1426.4,1,1.434345204711161,2-4yr,3,-619.5499999999997
6575-SUVOI,0,1,1,0,25.0,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0,0.9913559467092687,2-4yr,3,15.150000000000091
7495-OOKFY,0,1,1,0,8.0,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,1.0187904626559294,0-1yr,1,-11.900000000000091
4667-QONEA,0,1,1,1,60.0,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0,1.0077754215894172,4-6yr,5,-34.649999999999636
1658-BYGOY,1,1,0,0,18.0,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,0.9803429288750679,1-2yr,2,34.44999999999982
8769-KKTPH,0,0,1,1,63.0,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0,0.994731588287489,4-6yr,3,33.24999999999909
5067-XJQFU,1,1,1,1,29.0,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0,0.4444452295321741,2-4yr,5,3931.3
3957-SQXML,0,0,1,1,34.0,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0,0.9485631219948564,2-4yr,0,46.0
5954-BDFSG,0,0,0,0,29.0,1,2,1,0,0,2,2,0,2,2,1,1,70.55,7853.7,0,0.26050778613901726,2-4yr,3,5807.75
0434-CSFON,0,0,1,0,47.0,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0,1.0034840984895157,2-4yr,3,-16.399999999999636
1215-FIGMP,1,0,0,0,29.0,1,2,1,0,2,0,0,0,0,0,1,0,70.55,5450.7,0,0.3753554589318803,2-4yr,1,3404.75
0526-SXDJP,1,0,1,0,72.0,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0,1.023362592842674,4-6yr,3,-69.20000000000027
0557-ASKVU,0,0,1,1,29.0,1,0,0,0,0,2,2,0,0,1,1,1,70.55,957.1,0,2.1376554174067492,2-4yr,2,-1088.85
5698-BQJOH,0,0,0,0,9.0,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,0.9910761154855644,0-1yr,2,7.649999999999977
5122-CYFXA,0,0,0,0,29.0,1,0,1,0,2,0,2,0,2,0,1,2,70.55,244.1,0,8.381605899221631,2-4yr,3,-1801.85
8627-ZYGSZ,1,0,1,0,47.0,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0,1.0158751900502692,2-4yr,1,-57.95000000000027
3410-YOQBQ,0,0,0,0,31.0,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0,0.9831811629024508,2-4yr,5,41.999999999999545
3170-NMYVV,0,0,1,1,50.0,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0,1.0822859598238264,4-6yr,0,-76.59999999999991
7410-OIEDU,1,0,0,0,29.0,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0,2.609624161830168,2-4yr,2,-1428.2999999999997
2273-QCKXA,1,0,0,0,29.0,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0,29.0,2-4yr,1,-1373.3999999999999
0731-EBJQB,0,0,1,1,29.0,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0,0.5424288268463759,2-4yr,0,499.0500000000002
1891-QRQSA,1,1,1,1,64.0,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0,1.006113537117904,4-6yr,5,-43.399999999999636
8028-PNXHQ,1,0,0,1,29.0,1,2,1,1,1,1,1,0,1,2,1,0,70.55,1424.6,0,1.4361575178997612,2-4yr,0,-621.3499999999999
5630-AHZIL,0,0,0,1,3.0,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0,1.0907553551296505,0-1yr,3,-16.099999999999994
2673-CXQEU,0,1,0,0,29.0,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0,0.5219480413714472,2-4yr,5,2935.0
6416-JNVRK,0,0,0,0,46.0,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0,0.9520426948323634,2-4yr,1,128.94999999999982
5590-ZSKRV,0,0,1,1,8.0,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0,0.9065837221358216,0-1yr,2,45.05000000000001
0191-ZHSKZ,1,1,0,0,30.0,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0,1.0621418083645147,2-4yr,4,-131.19999999999982
3887-PBQAO,1,0,0,1,29.0,1,2,1,1,1,1,1,0,1,1,1,1,70.55,1216.6,0,1.68169488739109,2-4yr,0,-829.3499999999999
5919-TMRGD,1,0,0,1,29.0,1,0,1,0,0,0,0,0,0,0,1,2,70.55,79.35,1,25.78386893509767,2-4yr,0,-1966.6
8108-UXRQN,0,0,1,1,11.0,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0,0.9835500132661182,0-1yr,3,9.300000000000068
9191-MYQKX,0,0,1,0,7.0,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,1.058663715033206,0-1yr,1,-29.15000000000009
9919-YLNNG,0,0,0,0,42.0,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0,1.0074176776429808,2-4yr,5,-32.099999999999454
0318-ZOPWS,0,0,0,0,29.0,1,0,1,1,1,1,1,0,1,2,1,0,70.55,973.35,0,2.1019674320645194,2-4yr,0,-1072.6
4445-ZJNMU,1,0,0,0,9.0,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0,0.9727346938775511,0-1yr,3,25.050000000000068
4808-YNLEU,0,0,1,0,35.0,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0,0.9818547022049697,2-4yr,2,40.19999999999982
1862-QRWPE,0,0,0,1,29.0,1,0,1,1,1,1,1,0,1,2,0,0,70.55,1057.0,0,1.93561967833491,2-4yr,0,-988.9499999999998
2796-NNUFI,1,0,0,1,29.0,1,0,1,1,1,1,1,0,1,2,1,3,70.55,927.1,0,2.206827742422608,2-4yr,0,-1118.85
3016-KSVCP,1,0,1,0,29.0,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0,0.9697795392618281,2-4yr,1,30.5
4767-HZZHQ,1,0,1,1,29.0,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0,0.925783985682048,2-4yr,2,190.75
2424-WVHPL,1,1,0,0,29.0,1,0,1,0,0,0,2,0,0,0,0,2,70.55,74.7,0,27.38888888888889,2-4yr,1,-1971.2499999999998
7233-PAHHL,1,0,1,1,29.0,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0,0.42630266439165243,2-4yr,5,3278.25
6067-NGCEU,1,0,0,0,29.0,1,2,1,2,2,2,0,0,2,0,1,1,70.55,7107.0,0,0.28787814830448855,2-4yr,4,5061.05
9848-JQJTX,1,0,0,0,72.0,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0,0.9739578096406379,4-6yr,4,194.25
8637-XJIVR,1,0,0,0,29.0,1,2,1,2,0,0,0,0,0,0,1,2,70.55,927.35,1,2.2062328139321723,2-4yr,1,-1118.6
9803-FTJCG,1,0,0,1,29.0,1,2,1,2,2,0,2,0,0,1,1,1,70.55,4748.7,0,0.43084423105270914,2-4yr,3,2702.75
0278-YXOOG,1,0,0,0,5.0,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,0.9244620114185332,0-1yr,0,8.599999999999994
3212-KXOCR,1,0,0,0,52.0,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0,0.9862716763005779,4-6yr,0,15.200000000000045
4598-XLKNJ,0,1,1,0,25.0,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,0.979319944322927,2-4yr,4,52.0
6380-ARCEH,1,0,0,0,29.0,1,0,1,1,1,1,1,0,1,0,0,3,70.55,20.2,0,101.28465346534654,2-4yr,0,-2025.7499999999998
3679-XASPY,1,0,0,1,29.0,1,0,1,1,1,1,1,0,1,0,0,2,70.55,19.45,0,105.19023136246787,2-4yr,0,-2026.4999999999998
7123-WQUHX,1,0,0,0,29.0,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0,0.7640891945861993,2-4yr,3,850.5999999999999
5386-THSLQ,0,1,1,0,66.0,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0,0.9930795276240812,4-6yr,3,20.950000000000273
3192-NQECA,1,0,1,0,68.0,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,0.9826783239291368,4-6yr,5,131.85000000000036
6180-YBIQI,1,0,0,0,5.0,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0,1.2125748502994014,0-1yr,0,-21.299999999999997
6728-DKUCO,0,0,1,1,29.0,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0,0.4135737808176036,2-4yr,4,4282.7
9750-BOOHV,0,0,0,0,29.0,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0,0.9425429849620007,2-4yr,1,53.30000000000007
8597-CWYHH,1,0,0,0,29.0,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0,0.6977660469742177,2-4yr,2,1185.1500000000005
2848-YXSMW,1,0,1,1,29.0,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0,0.4126902622409682,2-4yr,0,800.6500000000001
0486-HECZI,1,0,1,0,29.0,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,0.5355609001889711,2-4yr,3,2433.1499999999996
4549-ZDQYY,0,0,0,0,52.0,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0,0.9905168871723231,4-6yr,3,28.84999999999991
5712-AHQNN,0,0,0,0,43.0,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0,0.9966743380288815,2-4yr,3,13.149999999999636
4846-WHAFZ,0,1,1,0,29.0,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,0.7734951100883845,2-4yr,0,649.6500000000001
5256-SKJGO,0,0,1,1,64.0,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0,1.0207097999123704,4-6yr,4,-70.90000000000009
3071-VBYPO,1,0,1,1,3.0,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0,1.085144927536232,0-1yr,3,-21.14999999999995
9560-BBZXK,0,0,0,0,36.0,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0,0.9924091090691172,2-4yr,1,8.549999999999955
5299-RULOA,0,0,1,1,10.0,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,0.9416240078899168,0-1yr,3,62.15000000000009
8402-OOOHJ,0,0,0,0,41.0,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0,1.01376998144046,2-4yr,0,-11.5
9445-ZUEQE,1,0,1,1,27.0,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0,1.0691578360290017,2-4yr,2,-148.80000000000018
1091-SOZGA,0,0,1,1,56.0,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0,1.013299005520855,4-6yr,3,-73.35000000000036
2928-HLDBA,0,0,0,0,29.0,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,0,5.324168514412417,2-4yr,0,-487.54999999999995
0404-SWRVG,1,0,0,0,29.0,1,2,1,0,0,0,0,0,0,0,1,2,70.55,229.55,1,8.912873012415595,2-4yr,0,-1816.3999999999999
6497-TILVL,0,0,1,1,7.0,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0,1.0129870129870129,0-1yr,1,-4.550000000000011
7219-TLZHO,0,0,1,1,29.0,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,0,9.61287758346582,2-4yr,0,-541.7500000000001
4622-YNKIJ,1,0,0,0,33.0,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0,0.9695143097782108,2-4yr,3,92.30000000000018
4412-YLTKF,0,1,0,0,27.0,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,0.9868180753921797,2-4yr,1,28.15000000000009
6734-PSBAW,1,0,1,0,72.0,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95,0,0.9835552075176194,4-6yr,0,28.34999999999991
3930-ZGWVE,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,0,1.0,0-1yr,0,0.0
2639-UGMAZ,1,1,0,0,71.0,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0,1.0056707691921665,4-6yr,4,-22.600000000000364
2876-GZYZC,0,0,0,0,13.0,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65,0,0.9191379097602106,1-2yr,1,98.29999999999995
6207-WIOLX,0,0,1,1,25.0,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,0.9749442651316008,2-4yr,5,37.65000000000009
8587-XYZSF,1,0,0,0,29.0,1,0,1,0,0,0,2,0,0,2,0,0,70.55,3260.1,0,0.6275727738412932,2-4yr,1,1214.15
3091-FYHKI,1,0,0,0,1.0,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1,1.0,0-1yr,1,0.0
2372-HWUHI,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,1.0916923076923077,0-1yr,0,-7.450000000000003
7799-LGRDP,0,0,0,0,29.0,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2,0,0.6272513044941929,2-4yr,0,442.9000000000001
7850-VWJUU,0,0,0,0,23.0,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5,0,0.9699184706213102,1-2yr,1,53.5
3774-VBNXY,0,0,1,1,64.0,1,0,2,1,1,1,1,1,1,2,0,3,20.2,1277.75,0,1.011778516924281,4-6yr,0,-15.049999999999955
6217-KDYWC,1,0,0,1,57.0,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55,0,0.9544231344239889,4-6yr,0,53.34999999999991
0390-DCFDQ,0,1,1,0,1.0,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,1.0,0-1yr,0,0.0
3146-MSEGF,0,1,1,1,72.0,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65,0,0.9866083586874479,4-6yr,6,86.05000000000018
4080-OGPJL,0,0,0,0,8.0,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1,1.0098465359709041,0-1yr,3,-5.550000000000068
1095-WGNGG,0,0,1,0,29.0,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25,0,0.49075989114507007,2-4yr,3,3040.8
2636-SJDOU,1,0,0,0,64.0,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05,0,1.0200697667823144,4-6yr,2,-106.14999999999964
1131-QQZEB,1,1,1,0,29.0,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2,0,0.3954845689556998,2-4yr,0,1061.65
5716-EZXZN,0,0,1,1,65.0,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7,0,1.0033584241120825,4-6yr,4,-21.550000000000182
6837-BJYDQ,1,0,0,0,3.0,1,0,2,1,1,1,1,1,1,1,0,3,19.6,61.35,0,0.958435207823961,0-1yr,0,2.549999999999997
2135-RXIHG,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,1.0,0-1yr,0,0.0
6440-DKQGE,1,0,0,1,30.0,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1929.95,0,1.0026166480996916,2-4yr,3,-5.0499999999999545
3466-BYAVD,1,0,1,1,29.0,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4,0,1.8811834982266193,2-4yr,4,-944.0999999999999
3780-YVMFA,0,0,1,1,8.0,1,0,0,0,0,0,2,2,2,0,1,2,68.55,564.35,0,0.9717373970054044,0-1yr,3,15.950000000000045
3874-EQOEP,1,0,0,0,29.0,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1,4.202898550724638,2-4yr,2,-2099.5
1679-JRFBR,0,0,1,1,70.0,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55,0,0.9545996179331825,4-6yr,5,360.0500000000002
9073-ZZIAY,1,0,1,1,62.0,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25,0,1.0235750922774556,4-6yr,6,-122.94999999999982
3077-RSNTJ,0,0,1,1,6.0,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5,0,1.0414096916299558,0-1yr,0,-4.699999999999989
6551-GNYDG,0,0,1,1,14.0,1,0,1,0,0,0,0,0,2,0,1,0,80.9,1152.8,0,0.9824774462179043,1-2yr,1,20.199999999999818
9167-APMXZ,1,0,0,0,29.0,1,2,1,0,0,0,0,0,0,0,1,0,70.55,1821.95,0,1.1229451960811219,2-4yr,0,-223.99999999999977
2749-CTKAJ,1,0,0,1,29.0,1,0,1,1,1,1,1,0,1,1,0,3,70.55,419.9,0,4.872469635627531,2-4yr,0,-1626.0499999999997
6371-NZYEG,1,0,1,1,16.0,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,0,1.00390625,1-2yr,3,-4.0
7554-NEWDD,1,0,0,0,10.0,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6,0,1.021462639109698,0-1yr,0,-5.400000000000006
8992-VONJD,0,0,0,1,13.0,1,0,0,2,2,0,0,0,0,0,1,2,56.0,764.55,0,0.9521941011052253,1-2yr,2,36.549999999999955
0867-MKZVY,0,0,1,0,20.0,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,1.0349483467830567,1-2yr,1,-55.65000000000009
4482-EWFMI,0,0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,0,1.0310650887573967,0-1yr,0,-4.200000000000017
4648-YPBTM,1,0,0,0,53.0,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25,0,0.9895029369039349,4-6yr,4,41.54999999999973
2907-ILJBN,0,0,1,1,11.0,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9,0,0.9687900812312954,0-1yr,0,7.299999999999983
6345-FZOQH,1,0,1,0,69.0,1,0,2,1,1,1,1,1,1,2,0,3,19.9,1363.45,0,1.0070776339433056,4-6yr,0,-9.649999999999864
3376-BMGFE,0,0,0,0,4.0,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,1,1.038827838827839,0-1yr,0,-10.600000000000023
5997-OPVFA,1,0,0,0,29.0,1,2,1,2,2,2,2,0,2,2,1,0,70.55,6254.45,0,0.32711909120706056,2-4yr,5,4208.5
3445-HXXGF,1,1,0,0,29.0,0,1,1,0,2,2,0,0,2,0,1,2,70.55,2651.2,1,0.7717071514785757,2-4yr,3,605.25
1159-WFSGR,1,0,0,1,29.0,1,0,1,1,1,1,1,0,1,0,0,2,70.55,321.4,0,6.365743621655258,2-4yr,0,-1724.5499999999997
7654-YWJUF,1,0,1,0,43.0,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25,0,1.0235925690471146,2-4yr,3,-83.5
